OID_,WellName,Zm,Xm,Ym
312,15-12,932.451,327137.77,4406034.761
313,15-12,931.451,327137.772,4406034.761
314,15-12,930.451,327137.774,4406034.761
315,15-12,929.451,327137.776,4406034.761
316,15-12,928.451,327137.778,4406034.761
317,15-12,927.451,327137.781,4406034.762
318,15-12,926.451,327137.784,4406034.762
319,15-12,925.451,327137.786,4406034.763
320,15-12,924.451,327137.789,4406034.763
321,15-12,923.451,327137.792,4406034.763
322,15-12,922.451,327137.795,4406034.764
323,15-12,921.451,327137.798,4406034.765
324,15-12,920.451,327137.801,4406034.765
325,15-12,919.451,327137.804,4406034.766
326,15-12,918.451,327137.807,4406034.767
327,15-12,917.451,327137.811,4406034.768
328,15-12,916.451,327137.815,4406034.769
329,15-12,915.451,327137.818,4406034.77
330,15-12,914.451,327137.822,4406034.771
331,15-12,913.451,327137.826,4406034.772
332,15-12,912.451,327137.83,4406034.774
333,15-12,911.451,327137.834,4406034.775
334,15-12,910.451,327137.838,4406034.777
335,15-12,909.451,327137.842,4406034.778
336,15-12,908.451,327137.846,4406034.78
337,15-12,907.451,327137.85,4406034.781
338,15-12,906.451,327137.854,4406034.783
339,15-12,905.451,327137.857,4406034.785
340,15-12,904.451,327137.861,4406034.787
341,15-12,903.451,327137.864,4406034.789
342,15-12,902.451,327137.868,4406034.792
343,15-12,901.451,327137.871,4406034.794
344,15-12,900.451,327137.873,4406034.797
345,15-12,899.451,327137.876,4406034.8
346,15-12,898.451,327137.879,4406034.803
347,15-12,897.451,327137.881,4406034.806
348,15-12,896.451,327137.883,4406034.81
349,15-12,895.451,327137.885,4406034.813
350,15-12,894.451,327137.887,4406034.817
351,15-12,893.451,327137.889,4406034.821
352,15-12,892.451,327137.89,4406034.825
353,15-12,891.451,327137.891,4406034.829
354,15-12,890.451,327137.892,4406034.833
355,15-12,889.451,327137.893,4406034.837
356,15-12,888.451,327137.894,4406034.842
357,15-12,887.451,327137.894,4406034.847
358,15-12,886.451,327137.895,4406034.852
359,15-12,885.452,327137.895,4406034.857
360,15-12,884.452,327137.895,4406034.862
361,15-12,883.452,327137.895,4406034.867
362,15-12,882.452,327137.895,4406034.873
363,15-12,881.452,327137.894,4406034.878
